County,Total rural,RuralMale,Rural Female,Urban Total population,Total men,Total women,Total,% urban,0-5,14-Jun,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-
MOMBASA,-,-,-,1208333,610257,598046,1208333,100%,,,,,,,,,,
KWALE,740389,362726,377650,126431,62395,64031,866820,15%,,,,,,,,,,
KILIFI,1059899,512765,547115,393888,191324,202558,1453787,27%,,,,,,,,,,
TANA RIVER,240221,120696,119524,75722,37854,37867,315943,24%,,,,,,,,,,
LAMU,105474,56570,48902,38446,19533,18911,143920,27%,,,,,,,,,,
TAITA/TAVETA,246897,126717,120178,93774,46620,47149,340671,28%,,,,,,,,,,
GARISSA,630463,349423,281013,210890,109552,101331,841353,25%,,,,,,,,,,
WAJIR,604089,320562,283500,177174,94812,82340,781263,23%,,,,,,,,,,
MANDERA,596990,299428,297535,270467,135548,134909,867457,31%,,,,,,,,,,
MARSABIT,352546,188758,163772,107239,54790,52447,459785,23%,,,,,,,,,,
ISIOLO,142333,76435,65894,125669,63075,62589,268002,47%,,,,,,,,,,
MERU,1406796,699532,707228,138918,68166,70747,1545714,9%,,,,,,,,,,
THARAKA-NITHI,360434,177716,182712,32743,16048,16694,393177,8%,,,,,,,,,,
EMBU,532675,267126,265534,75924,37082,38833,608599,12%,,,,,,,,,,
KITUI,1082168,522943,559193,54019,26060,27958,1136187,5%,,,,,,,,,,
MACHAKOS,1007854,504247,503582,414078,206460,207609,1421932,29%,,,,,,,,,,
MAKUENI,910577,450482,460075,77076,39209,37867,987653,8%,,,,,,,,,,
NYANDARUA,571754,282499,289240,66535,32523,34007,638289,10%,,,,,,,,,,
NYERI,608409,300893,307488,150755,73395,77357,759164,20%,,,,,,,,,,
KIRINYAGA,474187,237086,237083,136224,64925,71286,610411,22%,,,,,,,,,,
MURANG'A,938213,467062,471121,118427,56878,61548,1056640,11%,,,,,,,,,,
KIAMBU,711450,355557,355866,1706285,831589,874588,2417735,71%,,,,,,,,,,
TURKANA,786185,406490,379675,140791,71597,69193,926976,15%,,,,,,,,,,
WEST POKOT,589400,291469,297916,31841,15544,16297,621241,5%,,,,,,,,,,
SAMBURU,263195,133058,130130,47132,23716,23416,310327,15%,,,,,,,,,,
TRANS NZOIA,811607,400606,410978,178734,88501,90228,990341,18%,,,,,,,,,,
UASIN GISHU,652981,326269,326700,510205,254000,256189,1163186,44%,,,,,,,,,,
ELGEYO/MARAKWET,433901,217344,216548,20579,9973,10603,454480,5%,,,,,,,,,,
NANDI,826232,411715,414497,59479,29544,29933,885711,7%,,,,,,,,,,
BARINGO,591474,299456,292006,75289,36866,38422,666763,11%,,,,,,,,,,
LAIKIPIA,391200,196277,194909,127360,63163,64193,518560,25%,,,,,,,,,,
NAKURU,1115122,559639,555458,1047080,517633,529377,2162202,48%,,,,,,,,,,
NAROK,1057521,529224,528276,100352,49818,50529,1157873,9%,,,,,,,,,,
KAJIADO,495218,250233,244970,622622,306865,315734,1117840,56%,,,,,,,,,,
KERICHO,808239,402717,405500,93538,48024,45508,901777,10%,,,,,,,,,,
BOMET,847718,420119,427577,27971,14168,13802,875689,3%,,,,,,,,,,
KAKAMEGA,1682239,806682,875526,185340,90451,94880,1867579,10%,,,,,,,,,,
VIHIGA,531629,255727,275892,58384,27951,30431,590013,10%,,,,,,,,,,
BUNGOMA,1480458,720235,760194,190112,91911,98195,1670570,11%,,,,,,,,,,
BUSIA,779928,371289,408611,113753,54963,58790,893681,13%,,,,,,,,,,
SIAYA,907766,431450,476301,85417,40219,45195,993183,9%,,,,,,,,,,
KISUMU,714668,344721,369939,440906,216221,224670,1155574,38%,,,,,,,,,,
HOMA BAY,1018871,485991,532861,113079,53569,59506,1131950,10%,,,,,,,,,,
MIGORI,949236,455887,493318,167200,80300,86896,1116436,15%,,,,,,,,,,
KISII,1115450,531860,583560,151410,73924,77478,1266860,12%,,,,,,,,,,
NYAMIRA,558540,268241,290286,47036,22666,24370,605576,8%,,,,,,,,,,
NAIROBI CITY,-,-,-,4397073,2192452,2204376,4397073,100%,,,,,,,,,,
